num_forks-num_integrated_commits-MAXindex,num_forks-num_integrated_commits-MAXSlope,num_files-num_integrated_commits-MAXindex,num_files-num_integrated_commits-MAXSlope,fork_entropy-num_integrated_commits-MAXindex,fork_entropy-num_integrated_commits-MAXSlope,project_age-num_integrated_commits-MAXindex,project_age-num_integrated_commits-MAXSlope,num_stars-num_integrated_commits-MAXindex,num_stars-num_integrated_commits-MAXSlope,ratio_old_volunteers-num_integrated_commits-MAXindex,ratio_old_volunteers-num_integrated_commits-MAXSlope,num_forks_rq2-ratio_merged_prs-MAXindex,num_forks_rq2-ratio_merged_prs-MAXSlope,num_forks_rq2-num_bug_report_issues-MAXindex,num_forks_rq2-num_bug_report_issues-MAXSlope,num_files_rq2-ratio_merged_prs-MAXindex,num_files_rq2-ratio_merged_prs-MAXSlope,num_files_rq2-num_bug_report_issues-MAXindex,num_files_rq2-num_bug_report_issues-MAXSlope,fork_entropy_rq2-ratio_merged_prs-MAXindex,fork_entropy_rq2-ratio_merged_prs-MAXSlope,fork_entropy_rq2-num_bug_report_issues-MAXindex,fork_entropy_rq2-num_bug_report_issues-MAXSlope,ratio_old_volunteers_rq2-ratio_merged_prs-MAXindex,ratio_old_volunteers_rq2-ratio_merged_prs-MAXSlope,ratio_old_volunteers_rq2-num_bug_report_issues-MAXindex,ratio_old_volunteers_rq2-num_bug_report_issues-MAXSlope,ratio_prs_with_tests-ratio_merged_prs-MAXindex,ratio_prs_with_tests-ratio_merged_prs-MAXSlope,ratio_prs_with_tests-num_bug_report_issues-MAXindex,ratio_prs_with_tests-num_bug_report_issues-MAXSlope,ratio_prs_with_hot_files-ratio_merged_prs-MAXindex,ratio_prs_with_hot_files-ratio_merged_prs-MAXSlope,ratio_prs_with_hot_files-num_bug_report_issues-MAXindex,ratio_prs_with_hot_files-num_bug_report_issues-MAXSlope
0,0.309544804,1,-0.173763773,8,-0.210988042,0,0.149591338,12,0.081957397,1,0.010212773,12,0.181530657,9,0.284412293,2,-0.164577923,7,-0.180365172,6,-0.191029166,8,0.312580308,NA,NA,NA,NA,4,0.256368957,9,-0.177550022,12,-0.253530576,8,0.111815096
2,-0.170582494,2,-0.14889372,0,-0.082091179,2,0.110112093,2,0.102315306,2,-0.224084137,1,0.286376182,7,0.252275748,11,-0.321470721,2,0.254602787,8,-0.294373774,7,-0.240263517,11,-0.270633152,3,-0.379245161,6,0.22477578,7,0.252432758,4,-0.45054331,9,-0.178653705
2,0.108270132,1,-0.249693522,8,0.226099329,0,-0.303041125,8,-0.087541533,NA,NA,3,-0.307495771,NA,NA,2,-0.420056064,NA,NA,8,-0.237304564,NA,NA,NA,NA,NA,NA,3,-0.329524891,NA,NA,0,0.287914152,NA,NA
10,0.299764284,0,-0.330856963,7,0.241534338,4,-0.299045944,2,-0.156509495,0,-0.283365148,6,0.180183042,0,0.508158232,1,-0.166237551,2,-0.459390971,5,-0.294655901,0,-0.263498844,7,-0.214841039,11,0.321810392,9,0.3082463,12,0.216584908,11,0.322552989,12,-0.178575808
11,-0.215151493,12,-0.116677882,11,0.160871764,3,-0.250616896,2,0.17744742,3,0.245821051,5,0.294032378,0,0.261963049,6,-0.231229818,9,-0.179086051,8,0.350293755,0,-0.294202481,7,-0.212930514,11,0.336685873,12,-0.205757,5,-0.204558656,1,-0.176362645,12,-0.130979614
1,0.226436891,9,0.102622005,0,-0.052626219,7,0.043013356,4,0.034363623,NA,NA,1,0.179375671,0,-0.179900609,2,-0.223338922,1,-0.362033265,4,-0.201416128,8,0.219577331,NA,NA,NA,NA,4,0.140420289,4,0.392653949,9,-0.158254411,0,-0.176241057
0,-0.208647704,9,0.280521872,1,-0.246795085,8,0.135198603,3,-0.131604703,1,-0.255169939,5,-0.202031362,3,0.203802196,9,0.218092574,8,0.152902067,6,0.231252435,1,0.208032646,4,0.188936505,10,0.166146599,0,-0.184288924,3,-0.145921386,6,0.182256088,9,0.169972394
7,-0.201616288,2,-0.328888118,5,-0.196680518,7,-0.396745299,0,0.202516783,NA,NA,0,-0.159669729,NA,NA,0,0.213963738,NA,NA,8,-0.181748375,NA,NA,NA,NA,NA,NA,0,0.355523563,NA,NA,1,-0.163304082,NA,NA
0,-0.338614381,11,0.322823131,9,-0.279432278,9,-0.412067188,2,0.085892581,4,0.262390861,2,-0.342716446,4,0.348624849,0,0.247890695,3,-0.366109589,2,0.336146973,11,0.298439906,0,-0.193841323,5,0.207093395,3,0.350168195,4,0.163226676,1,-0.418812583,3,0.234296691
11,-0.130014609,0,0.136307211,1,0.28308613,0,0.280315356,1,0.192652398,4,-0.199773004,6,0.339540131,7,-0.458170967,2,-0.089483813,7,-0.449844944,4,0.24559394,11,-0.409385418,NA,NA,NA,NA,NA,NA,NA,NA,7,-0.226077192,11,-0.309843111
11,-0.339615109,4,0.638648723,5,-0.187550517,10,-0.293620901,9,-0.216961879,NA,NA,4,0.263105525,9,0.435610665,5,0.289164361,5,0.367733952,5,0.241067923,9,-0.377653268,NA,NA,NA,NA,5,0.273889612,11,0.317657939,2,0.267676182,5,-0.294801612
0,-0.493173169,10,0.408916311,2,0.250791483,1,-0.263823089,3,-0.249127352,6,-0.27304522,7,-0.325757343,10,-0.427249896,0,-0.744474027,8,0.368646281,3,0.517568299,1,-0.578045751,9,0.303824192,7,-0.605689454,11,-0.202239105,7,-0.288371141,4,-0.233731486,6,0.229013996
5,0.212047416,0,-0.220569651,2,0.233282865,4,0.197357843,3,-0.085149107,10,0.154341074,6,-0.16742708,0,0.298066324,6,-0.116102927,6,0.218595631,11,-0.231871297,6,-0.23431273,10,0.263873685,12,0.162975559,4,-0.317012747,12,0.186946739,10,-0.239205933,2,0.222712741
1,-0.354939486,10,-0.349706327,11,-0.401131658,7,0.372872604,9,0.190369707,NA,NA,2,-0.392146756,4,0.199463121,4,-0.262683603,1,-0.313293024,7,-0.315915311,4,-0.381858364,NA,NA,NA,NA,8,-0.179283479,12,-0.237343724,9,0.109635219,3,-0.329857185
9,-0.193642817,12,-0.272282007,7,-0.268972808,4,0.299170741,2,0.185039578,7,0.295432252,0,-0.281094525,2,-0.274234642,5,0.246792407,1,0.262615283,7,0.304109124,10,-0.399457584,NA,NA,NA,NA,8,0.492193567,0,-0.191872892,9,0.326536095,3,0.195321836
0,0.201044103,7,0.144246198,1,-0.214287843,10,0.171708771,5,0.053481075,3,-0.374009662,2,-0.168347139,3,-0.272413717,6,-0.193162771,3,-0.193825683,12,-0.18946247,2,0.18312709,3,-0.316921095,9,-0.165957845,NA,NA,NA,NA,5,0.243263078,12,-0.180776859
3,0.386667221,7,0.255884277,5,-0.246223009,8,0.34618403,7,-0.253346151,4,0.389086304,9,-0.229938776,5,0.538281517,4,0.290850361,10,0.480704936,0,-0.333428538,2,0.503762128,0,-0.212450736,1,-0.425179707,11,-0.361503927,6,-0.487112534,8,0.351053498,3,0.534953306
2,-0.26234548,5,-0.111910565,4,-0.307136298,4,0.238763341,3,0.07630214,5,0.28550075,6,0.183642949,1,0.250817542,12,0.189165822,7,-0.272289982,2,-0.140435598,10,0.309704801,12,0.18707001,0,-0.308063982,3,0.14762877,12,0.263066117,3,-0.197738719,11,0.203400358
3,-0.251388968,4,0.411643596,12,0.194833119,6,-0.313265797,5,-0.098100376,5,0.360847747,11,-0.211280656,4,-0.200811571,3,-0.271831211,4,-0.169550195,4,-0.2837192,10,0.223727131,2,0.270280304,9,0.230114183,12,0.220483343,5,0.283043815,5,-0.259685196,11,0.199467415
0,-0.219439873,1,-0.163818003,1,0.342426545,2,0.274095416,8,0.113025798,3,0.512095894,0,0.210459239,11,0.220461208,8,-0.195718609,10,-0.276016386,8,-0.199782396,11,0.289799428,1,-0.219453115,8,0.333575674,1,0.22337432,6,0.270527229,6,0.250506775,1,-0.16564153
6,0.242600165,6,0.22184935,1,0.211904387,9,-0.326775563,4,-0.254578963,6,0.211702593,0,-0.276345248,9,0.189368107,3,0.300862824,7,-0.180680931,3,0.152007383,8,0.28670566,2,-0.178658745,7,-0.308018879,12,-0.271112047,7,0.157060958,6,-0.324150259,5,0.263517027
0,-0.258506979,10,-0.174237389,4,-0.193803696,2,0.160896591,9,-0.12919233,9,0.236378268,6,0.26392884,7,0.216480387,4,0.229690538,11,0.185134473,0,0.157626132,8,-0.222436577,10,0.157343122,2,-0.223189231,8,-0.218938318,9,-0.186854948,0,-0.164479349,4,0.168771014
0,0.217146305,0,0.181908996,3,0.183216373,3,-0.22249242,12,-0.063926967,6,0.070771564,1,-0.131357724,0,0.402904945,3,0.197397407,12,0.168805265,1,0.238602396,0,-0.120953663,12,0.164498662,12,0.237747266,0,-0.242094787,6,0.28017921,6,0.397161279,6,-0.125217217
8,0.225164362,0,-0.137676226,5,0.184230702,0,-0.245263383,10,0.053584335,8,0.19453542,9,-0.174519695,5,-0.140720759,7,0.282650434,12,-0.190574093,9,-0.209797871,5,0.177582674,5,-0.242521735,11,-0.136153493,11,0.281545263,1,0.179881976,6,0.20478642,0,-0.165896237
9,0.226032496,0,-0.313184212,2,0.243148533,6,-0.264077724,12,-0.121140707,1,0.277733265,11,-0.263994778,0,0.343992314,0,-0.170861473,9,-0.155586186,3,-0.272172319,8,0.218727297,5,-0.139764467,9,0.211862776,12,-0.212951565,4,-0.442029627,0,-0.440709819,11,-0.279569678
0,0.524312079,0,0.659260719,0,-0.222855252,0,0.080217832,10,0.083925277,10,0.081375241,4,-0.257683022,NA,NA,3,-0.353854308,NA,NA,4,-0.208548959,NA,NA,0,-0.200173998,NA,NA,0,-0.033633183,NA,NA,2,-0.189112608,NA,NA
0,0.486788883,12,-0.265920039,0,0.318036331,6,0.226422023,4,-0.044721514,NA,NA,0,-0.086495345,11,-0.113525811,4,-0.131140859,2,-0.184122572,1,0.082908764,4,-0.297580532,NA,NA,NA,NA,2,0.069130865,0,0.222266938,1,-0.250670644,3,-0.285798967
0,-0.297042416,1,-0.157763668,4,0.112623224,0,0.204093133,2,0.050649969,1,-0.232902127,0,0.231785332,5,-0.193573298,8,0.222952666,5,-0.223594571,3,0.254612611,5,0.313704693,12,0.292100671,0,0.231103426,1,-0.315577728,9,0.161222881,0,-0.418692391,9,-0.253576651
4,-0.193739266,1,0.298754976,4,0.229912275,4,0.126505433,4,0.081201611,6,-0.16587112,11,-0.29062418,6,0.243672695,1,-0.388454311,4,0.322467843,1,-0.276399512,4,0.186899472,9,-0.253429889,7,0.380252275,1,0.216341658,5,-0.227334667,4,0.32800528,6,0.090475275
0,-0.462421913,0,-0.363829371,7,0.264332238,4,-0.263017229,2,-0.216064238,12,-0.231038882,5,0.238226489,4,-0.196720964,12,-0.269079762,8,-0.340628501,1,-0.228100104,11,0.167460033,11,-0.216030921,1,0.178952544,0,-0.30487025,6,-0.193898337,4,0.476264491,0,0.403816942
8,-0.377751554,4,0.492290742,9,0.17870687,2,0.349006497,1,-0.163355986,2,-0.354174914,11,0.24926672,9,0.357068147,4,-0.234116389,3,0.177684625,1,-0.36997847,4,0.19696924,3,-0.389771538,2,-0.25257814,5,0.277412438,1,-0.230921542,6,0.225454773,4,0.314407245
3,-0.234421246,0,-0.25531624,0,-0.273237769,1,0.136078544,9,-0.055408639,0,-0.355005857,3,-0.193022506,2,-0.371642716,0,-0.209247811,2,0.233222806,4,0.141790065,9,0.137055838,6,0.276616564,3,-0.277712087,0,-0.19013144,8,-0.136509794,12,0.247943858,2,-0.274943135
4,-0.405274565,3,0.434410859,8,0.234554768,3,0.305351668,7,-0.106839919,12,-0.419027356,0,0.237448522,1,-0.228984623,3,0.223102175,8,0.310524812,8,0.222323908,11,0.327096987,4,-0.362218885,3,-0.379235479,8,-0.312433417,6,0.355584769,3,0.286640454,2,0.356027579
4,0.223678446,4,-0.432401912,4,-0.408199252,11,0.310354789,0,-0.153815889,NA,NA,11,0.468860673,6,0.323825232,2,0.297259504,9,-0.400227287,2,-0.292983899,4,0.374022249,NA,NA,NA,NA,12,0.474588611,4,0.388694171,10,-0.376600641,1,-0.351185665
2,-0.269399502,2,0.21224628,0,0.39882896,6,-0.320975961,8,0.219610065,NA,NA,5,-0.487935414,0,-0.323306496,5,-0.367309362,3,0.384703564,1,-0.315634421,3,-0.389242823,NA,NA,NA,NA,7,-0.275762514,8,-0.35593923,2,0.329492229,6,0.289080873
3.86,-0.033549192,4.16,0.004707602,4.62,0.030697909,4.74,0.013796897,5.38,-0.00924808,5.85,0.013173775,5.06,-0.030510619,5.386363636,0.080236731,4.4,-0.053228605,5.75,-0.002360431,4.62,-0.005550194,6.318181818,0.027869908,5.918918919,-0.018897244,6.212121212,-0.0098367,4.75,0.012956912,5.666666667,0.000392467,5.2,0.001029976,5.636363636,0.013912758
3.794785896,0.294527445,3.986778148,0.299671693,3.285665838,0.246632175,3.392992779,0.248001203,3.714242857,0.149822645,3.532350492,0.266489428,3.657376109,0.246947741,3.874250127,0.29405778,3.693237063,0.258121861,3.378575547,0.285100984,3.588258631,0.269540694,3.572449677,0.287646708,4.109174826,0.231785516,4.088102292,0.286243027,4.210601699,0.270275397,3.543381938,0.260864573,3.605551275,0.284506668,3.902743261,0.24343915
