project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
AFNetworking/AFNetworking,15,36,1279,14700,0,0.677680487,3,6,14,0.166666667,0.166666667,0.833333333,0.641184694,6,0,3
AFNetworking/AFNetworking,25,70,1310,15092,0,0.60335754,7,10,18,0,0.2,0.9,0.61682275,10,0,6
AFNetworking/AFNetworking,27,78,1341,15625,0,0.703712376,0,4,11,0,0,1,0.746391925,4,0,2
AFNetworking/AFNetworking,31,144,1369,15966,0,0.636766433,7,12,28,0,0.307692308,0.846153846,0.666382215,13,0,2
AFNetworking/AFNetworking,36,100,1400,16564,0.011363636,0.660096946,6,15,66,0,0.444444444,0.722222222,0.486050032,17,0,5
AFNetworking/AFNetworking,25,95,1430,17238,0,0.644382923,7,9,73,0,0.272727273,1,0.64196498,8,0,5
AFNetworking/AFNetworking,24,106,1461,17848,0,0.460286541,7,7,20,0,0.142857143,0.857142857,0.686312313,7,0,8
AFNetworking/AFNetworking,20,31,1491,18457,0,0.680578192,4,6,9,0,0.285714286,1,0.766755484,7,0.285714286,4
AFNetworking/AFNetworking,29,188,1522,19013,0,0.509775892,7,10,135,0,0.5,1,0.473566176,9,0.111111111,13
AFNetworking/AFNetworking,33,127,1553,19650,0,0.501226938,0,13,58,0,0.142857143,1,0.650356751,13,0,11
AFNetworking/AFNetworking,38,112,1583,20277,0,0.514561384,6,13,38,0,0.142857143,0.857142857,0.630264123,13,0,14
AFNetworking/AFNetworking,30,63,1614,20983,0.128571429,0.670503946,15,10,21,0.285714286,0.214285714,1,0.766278924,14,0.071428571,5
AFNetworking/AFNetworking,23,206,1644,21619,0.239130435,0.453560348,17,12,20,0.214285714,0.214285714,1,0.637214191,14,0.071428571,8
AFNetworking/AFNetworking,25,273,1675,22458,0,0.549534699,7,11,110,0,0.25,0.916666667,0.466982161,10,0,4
AFNetworking/AFNetworking,23,149,1706,23171,0,0.528576833,7,11,13,0,0.090909091,0.909090909,0.548332721,9,0,0
AFNetworking/AFNetworking,25,282,1735,23687,0,0.662175417,5,10,103,0,0.4,0.9,0.723557037,9,0,7
AFNetworking/AFNetworking,29,163,1766,24534,0.5,0.554172069,8,10,67,0.25,0.416666667,0.916666667,0.641149675,8,0,6
